feature,importance_mean,importance_std
x_ankle_left,0.0,0.0
x_elbow_left,0.0,0.0
y_shoulder_right,0.0,0.0
y_wrist_right,0.0,0.0
z_ankle_left,0.0,0.0
z_elbow_left,0.0,0.0
z_left_foot_index,0.0,0.0
z_hip_left,0.0,0.0
z_knee_left,0.0,0.0
z_shoulder_left,0.0,0.0
z_wrist_left,0.0,0.0
z_ankle_right,0.0,0.0
z_elbow_right,0.0,0.0
z_right_foot_index,0.0,0.0
z_hip_right,0.0,0.0
z_knee_right,0.0,0.0
z_shoulder_right,0.0,0.0
z_wrist_right,0.0,0.0
x_mid_hip,0.0,0.0
y_mid_hip,0.0,0.0
angle_knee_left,0.0,0.0
angle_knee_right,0.0,0.0
angle_elbow_left,0.0,0.0
y_knee_right,0.0,0.0
y_hip_right,0.0,0.0
y_right_foot_index,0.0,0.0
x_knee_right,0.0,0.0
x_left_foot_index,0.0,0.0
x_hip_left,0.0,0.0
x_knee_left,0.0,0.0
x_shoulder_left,0.0,0.0
x_wrist_left,0.0,0.0
x_ankle_right,0.0,0.0
x_elbow_right,0.0,0.0
x_right_foot_index,0.0,0.0
x_hip_right,0.0,0.0
x_shoulder_right,0.0,0.0
y_elbow_right,0.0,0.0
x_wrist_right,0.0,0.0
y_ankle_left,0.0,0.0
y_elbow_left,0.0,0.0
y_left_foot_index,0.0,0.0
y_hip_left,0.0,0.0
y_knee_left,0.0,0.0
y_shoulder_left,0.0,0.0
y_wrist_left,0.0,0.0
y_ankle_right,0.0,0.0
angle_elbow_right,0.0,0.0
